Agency,Index Crime Months,agency_type,population_21,NIBRS Months_21,NIBRS Months_22,agency_name_full,violent_crime_2020,property_crime_2020,murder_2020,total_crime_2020,longitude,latitude,County,Historical mean,Historical count
Evans Town PD,12,City,16061,0,0,evans town police department,23,156,0,179,-79.0417851,42.6466036,Erie,12,19
Hamburg Town PD,12,City,46513,0,0,hamburg town police department,51,675,0,726,-78.824408,42.729148,Erie,12,19
Lancaster Town PD,12,City,37633,0,0,lancaster town police department,12,347,0,359,-78.6703,42.9001,Erie,12,19
Tonawanda Town PD,12,City,56503,0,0,tonawanda town police department,85,848,2,933,-78.8723971,42.9886849,Erie,12,19
West Seneca Town PD,12,City,45278,0,0,west seneca town police department,59,590,0,649,-78.7538895,42.8358977,Erie,12,19
Essex County Sheriff,12,County,23380,0,0,essex county sheriff's office,1,1,0,2,-73.536718,44.2821,Essex,12,17
Lake Placid Vg PD,12,City,2339,0,0,lake placid village police department,7,16,0,23,-73.9798713,44.2794911,Essex,11.94736842,19
Ticonderoga Town PD,9,City,4725,0,0,ticonderoga town police department,6,23,0,29,-73.4234531,43.8486707,Essex,12,19
Moriah Town PD,12,City,4437,0,0,moriah town police department,0,0,0,0,-73.4578018,44.0428009,Essex,11.9375,16
Franklin County Sheriff,,County,36872,0,0,franklin county sheriff's office,0,0,0,0,-74.318688,44.869045,Franklin,12,6
Tupper Lake Vg PD,6,City,3420,0,0,tupper lake village police department,1,25,0,26,-74.4640575,44.2239488,Franklin,12,19
Saranac Lake Vg PD,12,City,5177,0,0,saranac lake village police department,1,5,0,6,-74.1312662,44.329496,Franklin,12,19
Malone Vg PD,12,City,5566,0,0,malone village police department,32,191,0,223,-74.2948983,44.8486596,Franklin,12,19
Fulton County Sheriff,12,County,28811,0,0,fulton county sheriff's office,13,244,0,257,-74.351054,43.018457,Fulton,12,19
Gloversville City PD,12,City,14656,0,7,gloversville police department,79,404,1,483,-74.3493359,43.0517167,Fulton,12,19
Johnstown City PD,12,City,8183,0,10,johnstown police department,10,128,0,138,-74.3699,43.0067,Fulton,12,19
Northville Vg PD,10,City,1048,0,0,northville village police department,0,3,0,3,-72.618982,40.970099,Fulton,12,17
Genesee County Sheriff,12,County,37985,11,11,genesee county sheriff's office,26,234,0,260,-78.1992786,43.0148533,Genesee,12,19
Batavia City PD,12,City,14278,12,12,batavia police department,64,345,0,409,-78.187534,42.99848,Genesee,12,19
LeRoy Vg PD,3,City,4246,0,0,le roy village police department,1,18,0,19,-77.9842,42.9784,Genesee,12,19
Greene County Sheriff,12,County,25316,0,0,greene county sheriff's office,11,26,0,37,-73.8639,42.2175,Greene,11.52631579,19
Athens Vg PD,,City,1590,0,0,athens village police department,0,0,0,0,-73.8105224,42.2624216,Greene,12,11
Catskill Vg PD,12,City,3787,0,0,catskill village police department,6,71,0,77,-73.8658419,42.2204709,Greene,12,19
Coxsackie Vg PD,12,City,2655,0,0,coxsackie village police department,0,1,0,1,-73.8029028,42.3509179,Greene,12,19
Windham Town PD,12,City,1672,0,0,windham town police department,0,5,0,5,-74.315449,42.098715,Greene,12,19
Hunter Town PD,12,City,2620,0,0,hunter town police department,0,20,0,20,-74.120967,42.196047,Greene,9.75,16
Durham Town PD,12,City,2648,0,0,durham town police dept,0,1,0,1,-74.131839,42.404199,Greene,12,18
Cairo Town PD,12,City,6390,0,0,cairo town police department,3,40,0,43,-73.998459,42.300795,Greene,12,19
Hamilton County Sheriff,12,County,4041,0,0,hamilton county sheriff's office,0,10,0,10,-74.4112,43.4692,Hamilton,12,19
Inlet Town PD,12,City,301,0,0,inlet town police department,1,4,0,5,-74.79722,43.764843,Hamilton,11.94736842,19
Herkimer County Sheriff,,County,27783,0,0,herkimer county sheriff's office,0,0,0,0,-74.9891568,43.0285089,Herkimer,12,16
Frankfort Vg PD,12,City,2409,0,0,frankfort village police department,3,7,0,10,-75.07203,43.03436,Herkimer,11.94736842,19
Ilion Vg PD,12,City,7613,12,12,ilion village police department,28,195,0,223,-75.0354347,43.0150703,Herkimer,12,19
Mohawk Vg PD,12,City,2507,0,0,mohawk police department,2,23,0,25,-75.0053104,43.0090818,Herkimer,10.83333333,12
Herkimer Vg PD,12,City,7212,0,0,herkimer village police department,10,289,0,299,-74.9859889,43.0256259,Herkimer,11.84210526,19
Dolgeville Vg PD,12,City,2055,0,0,dolgeville village police department,1,20,0,21,-74.772927,43.1009037,Herkimer,12,19
Little Falls City PD,12,City,4604,0,0,little falls police department,12,63,1,75,-74.855717,43.044486,Herkimer,12,19
Webb Town PD,12,City,1779,0,0,webb town police department,0,1,0,1,-74.9707,43.7124,Herkimer,7.636363636,11
