Agency,Index Crime Months,agency_type,population_21,NIBRS Months_21,NIBRS Months_22,agency_name_full,violent_crime_2020,property_crime_2020,murder_2020,total_crime_2020,longitude,latitude,County,Historical mean,Historical count
SUNY Oneonta,12.0,University or College,0,0,0,state university college at oneonta police,0.0,18.0,0.0,18.0,-75.028841,42.629776,Otsego,12.0,19.0
SUNY Canton,12.0,University or College,0,0,0,suny canton police,0.0,7.0,0.0,7.0,-75.074311,44.488112,St Lawrence,12.0,19.0
SUNY Potsdam,12.0,University or College,0,0,0,state university college at potsdam police,1.0,25.0,0.0,26.0,-75.074311,44.488112,St Lawrence,12.0,19.0
SUNY Cobleskill,12.0,University or College,0,0,0,suny college of agriculture & technology at cobles,1.0,6.0,0.0,7.0,-74.438172,42.591294,Schoharie,12.0,19.0
SUNY Farmingdale,12.0,University or College,0,11,11,farmingdale state college police,0.0,6.0,0.0,6.0,-72.692218,40.943554,Suffolk,11.944444444444445,18.0
SUNY Stony Brook,12.0,University or College,0,11,8,state university at stony brook police,11.0,81.0,0.0,92.0,-72.692218,40.943554,Suffolk,12.0,19.0
,,University or College,0,11,12,cornell university,,,,,,,,,
,,University or College,0,0,0,ithaca college,,,,,,,,,
SUNY New Paltz,12.0,University or College,0,12,12,state university college at new paltz police,1.0,20.0,0.0,21.0,-74.265458,41.947216,Ulster,12.0,19.0
SUNY Purchase,12.0,University or College,0,0,0,purchase college police,0.0,11.0,0.0,11.0,-73.745912,41.15277,Westchester,12.0,19.0
SUNY Maritime ,,University or College,0,0,0,state university of new york maritime college poli,0.0,11.0,0.0,11.0,-73.852939,40.848711,,,
