Agency,Index Crime Months,agency_type,population_21,NIBRS Months_21,NIBRS Months_22,agency_name_full,violent_crime_2020,property_crime_2020,murder_2020,total_crime_2020,longitude,latitude,County,Historical mean,Historical count
Hamburg Vg PD,12.0,City,9744,0,0,hamburg village police department,6.0,71.0,0.0,77.0,-78.778192,42.752759,Erie,12.0,19.0
Akron Vg PD,12.0,City,2852,0,0,akron village police department,0.0,6.0,0.0,6.0,-78.778192,42.752759,Erie,12.0,19.0
nan,,Other,0,0,0,niagara frontier transportation authority,,,,,,,,,
Amherst Town PD,12.0,City,121304,0,0,amherst town police department,153.0,1865.0,0.0,2018.0,-78.778192,42.752759,Erie,12.0,19.0
Brant Town PD,12.0,City,2056,0,0,brant town police dept,0.0,15.0,0.0,15.0,-78.778192,42.752759,Erie,12.0,19.0
Cheektowaga Town PD,12.0,City,76536,0,0,cheektowaga town police department,216.0,2237.0,1.0,2453.0,-78.778192,42.752759,Erie,12.0,19.0
Orchard Park Town PD,12.0,City,29653,0,0,orchard park town police department,8.0,277.0,0.0,285.0,-78.778192,42.752759,Erie,12.0,19.0
Eden Town PD,12.0,City,7602,0,0,eden town police department,1.0,22.0,0.0,23.0,-78.778192,42.752759,Erie,12.0,19.0
Evans Town PD,12.0,City,16061,0,0,evans town police department,23.0,156.0,0.0,179.0,-78.778192,42.752759,Erie,12.0,19.0
Hamburg Town PD,12.0,City,46513,0,0,hamburg town police department,51.0,675.0,0.0,726.0,-78.778192,42.752759,Erie,12.0,19.0
Lancaster Town PD,12.0,City,37633,0,0,lancaster town police department,12.0,347.0,0.0,359.0,-78.778192,42.752759,Erie,12.0,19.0
Tonawanda Town PD,12.0,City,56503,0,0,tonawanda town police department,85.0,848.0,2.0,933.0,-78.778192,42.752759,Erie,12.0,19.0
West Seneca Town PD,12.0,City,45278,0,0,west seneca town police department,59.0,590.0,0.0,649.0,-78.778192,42.752759,Erie,12.0,19.0
Essex County Sheriff,12.0,County,23380,0,0,essex county sheriff's office,1.0,1.0,0.0,2.0,-73.777573,44.108971,Essex,12.0,17.0
Lake Placid Vg PD,12.0,City,2339,0,0,lake placid village police department,7.0,16.0,0.0,23.0,-73.777573,44.108971,Essex,11.947368421052632,19.0
Ticonderoga Town PD,9.0,City,4725,0,0,ticonderoga town police department,6.0,23.0,0.0,29.0,-73.777573,44.108971,Essex,12.0,19.0
Moriah Town PD,12.0,City,4437,0,0,moriah town police department,0.0,0.0,0.0,0.0,-73.777573,44.108971,Essex,11.9375,16.0
Franklin County Sheriff,,County,36872,0,0,franklin county sheriff's office,0.0,0.0,0.0,0.0,-74.31067,44.594376,Franklin,12.0,6.0
Tupper Lake Vg PD,6.0,City,3420,0,0,tupper lake village police department,1.0,25.0,0.0,26.0,-74.31067,44.594376,Franklin,12.0,19.0
Saranac Lake Vg PD,12.0,City,5177,0,0,saranac lake village police department,1.0,5.0,0.0,6.0,-74.31067,44.594376,Franklin,12.0,19.0
Malone Vg PD,12.0,City,5566,0,0,malone village police department,32.0,191.0,0.0,223.0,-74.31067,44.594376,Franklin,12.0,19.0
Fulton County Sheriff,12.0,County,28811,0,0,fulton county sheriff's office,13.0,244.0,0.0,257.0,-74.423678,43.115609,Fulton,12.0,19.0
Gloversville City PD,12.0,City,14656,0,7,gloversville police department,79.0,404.0,1.0,483.0,-74.423678,43.115609,Fulton,12.0,19.0
Johnstown City PD,12.0,City,8183,0,10,johnstown police department,10.0,128.0,0.0,138.0,-74.423678,43.115609,Fulton,12.0,19.0
