agency_type,FIPS,agency_name_full,population_21,months_reported_in_21,is_nibrs_2022,months_reported_in_22,violent_crime_2020,property_crime_2020,murder_2020,total_crime_2020,longitude,latitude,Info
County,36059,nassau county police department,1053945,0,0,0,1304,8610,14,9914,-73.589419,40.729612,
City,36059,glen cove police department,27186,0,0,0,3,108,0,111,-73.589419,40.729612,
City,36059,long beach police department,33461,0,0,0,13,46,0,59,-73.589419,40.729612,
City,36059,floral park village police department,15844,0,0,0,10,61,0,71,-73.589419,40.729612,
City,36059,freeport village police department,42962,0,1,7,73,263,1,336,-73.589419,40.729612,
City,36059,garden city village police department,22465,0,0,0,5,243,0,248,-73.589419,40.729612,
City,36059,hempstead village police department,55230,12,1,12,357,571,8,928,-73.589419,40.729612,
City,36059,lynbrook village police department,19441,0,0,0,15,115,0,130,-73.589419,40.729612,
City,36059,rockville centre police department,24604,0,0,0,14,106,0,120,-73.589419,40.729612,
City,36059,great neck estates village police department,2892,0,0,0,1,8,0,9,-73.589419,40.729612,
City,36059,sands point village police department,2919,0,0,0,1,12,0,13,-73.589419,40.729612,
City,36059,malverne village police department,8482,0,0,0,0,16,0,16,-73.589419,40.729612,
City,36059,kensington village police department,1193,0,0,0,0,0,0,0,-73.589419,40.729612,
City,36059,old westbury village police department,4603,12,1,12,1,21,0,22,-73.589419,40.729612,
City,36059,kings point village police department,5315,0,0,0,0,12,0,12,-73.589419,40.729612,
City,36059,centre island village police department,409,0,0,0,0,1,0,1,-73.589419,40.729612,
City,36059,port washington police district,19391,0,0,0,8,115,0,123,-73.589419,40.729612,
City,36059,lake success village police department,3161,0,0,0,0,14,0,14,-73.589419,40.729612,
City,36059,old brookville village police department,2196,0,0,0,1,47,0,48,-73.589419,40.729612,
City,36059,oyster bay cove village police department,4300,0,0,0,0,17,0,17,-73.589419,40.729612,
University or College,36059,us merchant marine academy kings point,0,0,0,0,0,0,0,0,-73.589419,40.729612,
City,36061,new york city police department,8300377,0,0,0,47959,129361,468,177320,-73.970174,40.776557,
Other State Agency,36061,nys park police new york city region,0,0,0,0,0,0,0,0,-73.970174,40.776557,
Other,36061,metro north rr pd metro transit auth new york,0,0,0,0,0,0,0,0,-73.970174,40.776557,
County,36063,niagara county sheriff's office,79559,12,1,12,28,542,0,570,-78.792142,43.456731,
City,36063,lockport police department,20212,0,0,0,116,491,0,607,-78.792142,43.456731,
City,36063,niagara falls police department,47474,12,1,12,369,1951,9,2320,-78.792142,43.456731,
City,36063,north tonawanda police department,30104,12,1,12,37,331,0,368,-78.792142,43.456731,
City,36063,middleport village police department,1733,0,0,0,1,11,0,12,-78.792142,43.456731,
City,36063,youngstown vlg police dept,1871,12,1,6,0,1,0,1,-78.792142,43.456731,
City,36063,barker village police department,504,0,0,0,,,,,,,
City,36063,lewiston town police department,15671,6,1,11,4,87,0,91,-78.792142,43.456731,
City,36063,niagara town police department,8012,9,1,12,1,196,0,197,-78.792142,43.456731,
City,36063,somerset town pd barker,2032,6,1,6,,,,,,,
Other State Agency,36063,nys park police niagara region,0,0,0,0,0,0,0,0,-78.792142,43.456731,
City,36065,rome police department,31978,12,1,12,65,570,0,635,-75.434282,43.242727,
City,36065,utica police department,59483,12,1,12,298,2023,1,2321,-75.434282,43.242727,
City,36065,boonville village police department,1974,0,0,0,0,20,0,20,-75.434282,43.242727,
City,36065,camden village police department,2151,0,0,0,0,22,0,22,-75.434282,43.242727,
City,36065,sherrill police department,2964,0,1,12,0,18,0,18,-75.434282,43.242727,
City,36065,vernon village police department,1142,0,0,0,3,3,0,6,-75.434282,43.242727,
City,36065,whitesboro village police department,3595,0,0,0,0,0,0,0,-75.434282,43.242727,
