agency_type,FIPS,agency_name_full,population_21,months_reported_in_21,is_nibrs_2022,months_reported_in_22,violent_crime_2020,property_crime_2020,murder_2020,total_crime_2020,longitude,latitude,Info,County
City,36107,waverly village police department,4083,0,0,0,0,4,0,4,-76.53918,42.00091,,Tioga
City,36107,owego village police department,3846,0,0,0,15,176,0,191,-76.2621549,42.1034075,,Tioga
County,36109,tompkins county sheriff's office,61078,0,0,0,27,242,0,269,-76.4668825,42.4927791,,Tompkins
City,36109,ithaca police department,30927,0,0,0,98,1159,0,1257,-76.4974745,42.4370315,,Tompkins
City,36109,dryden village police department,2066,0,0,0,3,57,0,60,-76.2978284,42.4895252,,Tompkins
City,36109,groton village police department,2211,0,0,0,0,35,0,35,-76.367083,42.590517,,Tompkins
City,36109,trumansburg vlg police dept,1709,0,0,0,0,26,0,26,-76.6660589,42.5422939,,Tompkins
City,36109,cayuga heights village police department,3589,0,0,0,2,15,0,17,-76.4866067,42.4595171,,Tompkins
Other State Agency,36109,nys park police finger lakes region,0,0,0,0,0,0,0,0,-76.9297247,42.7238165,,-
County,36111,ulster county sheriff's office,41917,12,1,12,5,117,0,122,-74.0163128,41.9126347,,Ulster
City,36111,kingston police department,22682,0,0,0,85,460,3,545,-73.9856,41.921,,Ulster
Other,36111,ulster reg gng enf nrc t,0,11,1,3,1,0,0,1,,,,Ulster
City,36111,ellenville village police department,4000,0,0,0,9,20,0,29,-74.3957099,41.7170379,,Ulster
City,36111,new paltz town & village police department,14040,9,0,0,0,0,0,0,-74.0868095,41.7475933,,Ulster
City,36111,lloyd town police department,10484,10,1,12,6,81,0,87,-73.964046,41.71714,,Ulster
City,36111,marlborough town police department,8579,5,1,12,2,19,0,21,-73.9601776,41.6592464,,Ulster
City,36111,plattekill town police dept,10168,12,1,12,0,29,0,29,-74.0593872,41.6239741,,Ulster
City,36111,woodstock town police department,5754,11,1,12,4,43,0,47,-74.1214941,42.0405945,,Ulster
City,36111,saugerties town police department,18956,11,1,11,21,146,1,167,-73.9529126,42.0775906,,Ulster
City,36111,shandaken town police department,2921,8,1,9,0,1,0,1,-74.3954274,42.1200896,,Ulster
City,36111,rosendale town police department,5755,10,1,4,0,19,0,19,-74.0810669,41.8443125,,Ulster
City,36111,ulster town police department,12626,11,1,6,11,155,0,166,-74.0027535,41.9766507,,Ulster
City,36111,olive town police department,4254,0,0,0,0,3,0,3,-74.229079,41.974996,,Ulster
City,36111,shawangunk town police department,13782,11,1,9,3,39,0,42,-74.1944529,41.6284438,,Ulster
County,36113,warren county sheriff's office,46897,12,1,11,32,306,0,338,-73.69902,43.36007,,Warren
City,36113,glens falls police department,14215,12,1,12,10,105,0,115,-73.6443307,43.3108637,,Warren
City,36113,bolton town police department,2239,0,0,0,0,6,0,6,-73.6557142,43.5571029,,Warren
County,36115,washington county sheriff's office,41826,0,0,0,21,73,0,94,-73.58899359,43.28901054,,Washington
City,36115,cambridge village police department,1803,0,0,0,1,17,0,18,-73.3778424,43.0371415,,Washington
City,36115,greenwich village police department,1708,0,0,0,0,11,0,11,-73.503115,43.091569,,Washington
City,36115,fort edward village police department,3256,7,0,0,2,2,0,4,-73.5845597,43.2670175,,Washington
City,36115,granville village police department,2428,0,0,0,2,7,0,9,-73.266641,43.402174,,Washington
City,36115,hudson falls village police department,7029,0,0,0,7,17,0,24,-73.5859487,43.3006281,,Washington
City,36115,whitehall village police department,2533,0,0,0,0,0,0,0,-73.403113,43.55326,,Washington
County,36117,wayne county sheriff's office,61892,0,0,0,42,217,0,259,-77.0317,43.066,,Wayne
City,36117,newark village police department,8784,0,0,0,31,294,0,325,-77.093574,43.04607,,Wayne
City,36117,wolcott village police department,1604,0,0,0,0,0,0,0,-76.815515,43.21968,,Wayne
City,36117,clyde village police department,1948,0,0,0,5,34,0,39,-76.870477,43.083574,,Wayne
City,36117,palmyra village police department,3299,0,0,0,0,10,0,10,-77.2319441,43.0632887,,Wayne
City,36117,sodus village police department,1696,0,0,0,0,0,0,0,-77.0615419,43.2355352,,Wayne
City,36117,sodus point village police department,854,0,0,0,0,0,0,0,-76.9891355,43.2717322,,Wayne
City,36117,macedon town police department,8856,0,0,0,9,88,0,97,-77.2988746,43.0692299,,Wayne
County,36119,westchester county department of public safety,69019,0,0,0,15,154,0,169,-73.7948516,41.1220194,,Westchester
City,36119,peekskill police department,24371,0,0,0,33,177,3,210,-73.9223596,41.2906825,,Westchester
City,36119,white plains police department,58240,0,0,0,72,961,2,1033,-73.7629097,41.0339862,,Westchester
City,36119,mount vernon police department,67339,0,0,0,382,894,7,1276,-73.8385051,40.9128802,,Westchester
City,36119,new rochelle police department,78707,12,1,11,20,263,0,283,-73.7863858,40.9189368,,Westchester
City,36119,ossining village police department,24786,0,0,0,17,197,0,214,-73.8639906,41.1585595,,Westchester
City,36119,port chester village police department,29181,0,0,0,22,212,0,234,-73.6656834,41.0017643,,Westchester
City,36119,yonkers police department,200816,11,1,11,653,2002,7,2655,-73.8971364,40.9302933,,Westchester
City,36119,rye police department,15692,0,0,0,0,20,0,20,-73.6830864,40.9852935,,Westchester
City,36119,mamaroneck village police department,19154,0,0,0,20,182,0,202,-73.7350082,40.9491093,,Westchester
City,36119,scarsdale village police department,17953,12,1,3,3,123,0,126,-73.7845768,41.0050977,,Westchester
City,36119,croton-on-hudson village police department,8097,0,0,0,2,40,0,42,-73.8912481,41.2084278,,Westchester
City,36119,bronxville village police department,6422,0,0,0,1,22,0,23,-73.8320784,40.9381544,,Westchester
City,36119,tuckahoe village police department,6554,0,0,0,2,21,0,23,-73.827356,40.9503764,,Westchester
City,36119,ardsley village police department,4515,0,0,0,2,28,0,30,-73.8437452,41.0106531,,Westchester
City,36119,dobbs ferry village police department,11037,0,0,0,2,96,0,98,-73.872635,41.0145418,,Westchester
City,36119,hastings village police department,7853,0,0,0,2,94,0,96,-73.883833,40.995345,,Westchester
City,36119,irvington village police department,6478,0,0,0,2,29,0,31,-73.868075,41.039554,,Westchester
City,36119,tarrytown village police department,11383,12,1,12,9,56,0,65,-73.8587461,41.0762077,,Westchester
City,36119,larchmont village police department,6112,0,0,0,4,82,0,86,-73.75156,40.927242,,Westchester
City,36119,briarcliff manor village police department,8126,0,0,0,2,34,0,36,-73.840231,41.1402322,,Westchester
City,36119,sleepy hollow village police department,10064,0,0,0,0,27,0,27,-73.8584684,41.085652,,Westchester
City,36119,pleasantville village police department,7280,0,0,0,4,55,0,59,-73.7924152,41.1333371,,Westchester
City,36119,pelham village police department,6956,0,0,0,1,57,0,58,-73.8079111,40.9098215,,Westchester
City,36119,pelham manor village police department,5535,0,0,0,1,134,0,135,-73.8057716,40.8960672,,Westchester
City,36119,elmsford village police department,5279,0,0,0,1,11,0,12,-73.8202093,41.0537974,,Westchester
City,36119,buchanan village police department,2233,0,0,0,0,12,0,12,-73.9394989,41.2615339,,Westchester
City,36119,bedford police department,17672,12,1,12,2,42,0,44,-73.6987,41.2399,,Westchester
City,36119,eastchester town police department,19991,0,0,0,1,136,0,137,-73.8095574,40.9595605,,Westchester
City,36119,greenburgh town police department,44727,12,1,12,25,437,0,462,-73.8654333,41.0339577,,Westchester
City,36119,harrison town police department,29110,0,0,0,6,126,0,132,-73.72422,40.99781,,Westchester
City,36119,lewisboro town police department,12533,0,0,0,0,0,0,0,-73.5226245,41.2381511,,Westchester
City,36119,mamaroneck town police department,12017,0,0,0,0,54,0,54,-73.7326309,40.9487097,,Westchester
City,36119,mount pleasant town police department,26966,0,0,0,12,140,0,152,-73.77767,41.096296,,Westchester
City,36119,new castle town police department,17824,0,0,0,0,77,0,77,-73.774623,41.155455,,Westchester
City,36119,north castle town police department,12266,0,0,0,1,88,0,89,-73.6889378,41.1361412,,Westchester
City,36119,pound ridge town police department,5133,0,0,0,1,40,0,41,-73.57482,41.208442,,Westchester
City,36119,yorktown town police department,36284,12,1,12,7,198,0,205,-73.783196,41.276982,,Westchester
City,36119,rye brook village police department,9542,0,0,0,0,76,0,76,-73.6813591,41.0188032,,Westchester
County,36121,wyoming county sheriff's office,28481,11,1,12,20,128,0,148,-78.1330728,42.7438352,,Wyoming
City,36121,arcade village police department,1919,7,1,11,3,14,0,17,-78.42454,42.53466,,Wyoming
City,36121,attica village police department,2389,0,0,0,0,14,0,14,-78.2802946,42.8642267,,Wyoming
City,36121,perry village police department,3471,0,0,0,3,49,0,52,-78.00076,42.719379,,Wyoming
City,36121,warsaw village police department,3225,0,0,0,6,31,0,37,-78.13417,42.740514,,Wyoming
Other State Agency,36121,nys park police genesee region,0,0,0,0,0,0,0,0,-74.2179326,43.2994285,,Genesee
County,36123,yates county sheriff's office,19804,11,1,12,10,123,1,133,-77.055338,42.6658511,,Yates
City,36123,penn yan police department,4900,0,0,0,3,59,0,62,-77.0548082,42.6610345,,Yates
State Police,36001,sp: albany county,0,0,0,0,26,79,0,105,-73.81166,42.68109,,Albany
State Police,36003,sp: allegany county,0,0,0,0,56,215,2,271,-78.026115,42.247871,,Allegany
State Police,36007,sp: broome county,0,0,0,0,74,389,1,463,-75.830283,42.161977,,Broome
State Police,36009,sp: cattaraugus county,0,0,0,0,39,200,0,239,-78.662421,42.239169,,Cattaraugus
State Police,36011,sp: cayuga county,0,0,0,0,55,193,0,248,-76.574587,43.008546,,Cayuga
State Police,36013,sp: chautauqua county,0,0,0,0,32,126,0,158,-79.407595,42.304216,,Chautauqua
State Police,36015,sp: chemung county,0,0,0,0,89,165,1,254,-76.747179,42.15528,,Chemung
State Police,36017,sp: chenango county,0,0,0,0,56,154,0,210,-75.604905,42.489732,,Chenango
State Police,36019,sp: clinton county,0,0,0,0,94,740,1,834,-73.705643,44.752712,,Clinton
State Police,36021,sp: columbia county,0,0,0,0,37,161,0,198,-73.626803,42.247728,,Columbia
State Police,36023,sp: cortland county,0,0,0,0,23,83,0,106,-76.07624,42.594039,,Cortland
State Police,36025,sp: delaware county,0,0,0,0,28,135,0,163,-74.966728,42.193986,,Delaware
State Police,36027,sp: dutchess county,0,0,0,0,155,451,1,606,-73.739951,41.75501,,Dutchess
State Police,36029,sp: erie county,0,0,0,0,38,288,0,326,-78.778192,42.752759,,Erie
State Police,36031,sp: essex county,0,0,0,0,44,206,0,250,-73.777573,44.108971,,Essex
State Police,36033,sp: franklin county,0,0,0,0,42,330,0,372,-74.31067,44.594376,,Franklin
State Police,36035,sp: fulton county,0,0,0,0,11,70,0,81,-74.423678,43.115609,,Fulton
State Police,36037,sp: genesee county,0,0,0,0,8,91,0,99,-78.192778,43.00091,,Genesee
State Police,36039,sp: greene county,0,0,0,0,172,198,0,370,-74.149554,42.286964,,Greene
State Police,36041,sp: hamilton county,0,0,0,0,6,25,0,31,-74.502456,43.657879,,Hamilton
State Police,36043,sp: herkimer county,0,0,0,0,44,174,0,218,-74.841097,43.571009,,Herkimer
State Police,36045,sp: jefferson county,0,0,0,0,75,517,0,592,-76.053514,43.995371,,Jefferson
State Police,36049,sp: lewis county,0,0,0,0,16,75,0,91,-75.44414,43.782681,,Lewis
State Police,36051,sp: livingston county,0,0,0,0,16,32,0,48,-77.769779,42.727485,,Livingston
State Police,36053,sp: madison county,0,0,0,0,32,133,0,165,-75.663575,42.910026,,Madison
State Police,36055,sp: monroe county,0,0,0,0,45,49,0,94,-77.664656,43.464475,,Monroe
State Police,36057,sp: montgomery cnty,0,0,0,0,14,92,1,106,-74.435357,42.900891,,Montgomery
State Police,36059,sp: nassau county,0,0,0,0,9,10,0,19,-73.589419,40.729612,,Nassau
State Police,36061,sp: new york county,0,0,0,0,9,16,0,25,-73.970174,40.776557,,-
State Police,36063,sp: niagara county,0,0,0,0,38,214,1,252,-79.015396,43.129683,,Niagara
State Police,36065,sp: oneida county,0,0,0,0,88,358,1,446,-75.434282,43.242727,,Oneida
State Police,36067,sp: onondaga county,0,0,0,0,76,579,0,655,-76.196117,43.00653,,Onondaga
State Police,36069,sp: ontario county,0,0,0,0,34,247,0,281,-77.303277,42.856695,,Ontario
State Police,36071,sp: orange county,0,0,0,0,105,390,0,495,-74.306252,41.40241,,Orange
State Police,36073,sp: orleans county,0,0,0,0,12,64,0,76,-78.229726,43.502287,,Orleans
State Police,36075,sp: oswego county,0,0,0,0,88,442,0,530,-76.209258,43.461443,,Oswego
State Police,36077,sp: otsego county,0,0,0,0,44,329,0,373,-75.028841,42.629776,,Otsego
State Police,36079,sp: putnam county,0,0,0,0,17,71,0,88,-73.743882,41.427904,,Putnam
State Police,36083,sp: rensselaer county,0,0,0,0,44,272,0,316,-73.513845,42.710421,,Rensselaer
State Police,36087,sp: rockland county,0,0,0,0,3,4,0,7,-74.024645,41.154639,,Rockland
State Police,36089,sp: st lawrence county,0,0,0,0,60,318,1,378,-75.074311,44.488112,,St. Lawrence
State Police,36091,sp: saratoga county,0,0,0,0,79,459,2,538,-73.855387,43.106135,,Saratoga
State Police,36093,sp: schenectady county,0,0,0,0,10,38,0,48,-74.043548,42.817539,,Schenectady
State Police,36095,sp: schoharie county,0,0,0,0,19,100,0,119,-74.438172,42.591294,,Schoharie
State Police,36097,sp: schuyler county,0,0,0,0,4,23,0,27,-76.938603,42.419776,,Schuyler
State Police,36099,sp: seneca county,0,0,0,0,19,88,0,107,-76.827088,42.782294,,Seneca
State Police,36101,sp: steuben county,0,0,0,0,63,316,2,379,-77.385525,42.266725,,Steuben
State Police,36103,sp: suffolk county,0,0,0,0,19,18,0,37,-72.692218,40.943554,,Suffolk
State Police,36105,sp: sullivan county,0,0,0,0,71,206,0,277,-74.76468,41.720176,,Sullivan
State Police,36107,sp: tioga county,0,0,0,0,29,67,0,96,-76.297456,42.178057,,Tioga
State Police,36109,sp: tompkins county,0,0,0,0,25,226,0,251,-76.473481,42.453003,,Tompkins
State Police,36111,sp: ulster county,0,0,0,0,65,370,1,435,-74.265458,41.947216,,Ulster
State Police,36113,sp: warren county,0,0,0,0,33,231,0,264,-73.838139,43.555105,,Warren
State Police,36115,sp: washington county,0,0,0,0,33,92,0,125,-73.439428,43.312377,,Washington
State Police,36117,sp: wayne county,0,0,0,0,67,369,1,436,-77.063164,43.458758,,Wayne
State Police,36119,sp: westchester county,0,0,0,0,111,332,1,443,-73.745912,41.15277,,Westchester
State Police,36121,sp: wyoming county,0,0,0,0,13,26,0,39,-78.228567,42.701363,,Wyoming
State Police,36123,sp: yates county,0,0,0,0,3,23,0,26,-77.104324,42.638237,,Yates
University or College,36001,state university at albany police,0,0,0,0,0,62,0,62,-73.8247903,42.6850273,SUNY Albany,Albany
University or College,36003,state university college of technology at alfred p,0,0,0,0,3,14,0,17,-77.78639352,42.25261732,SUNY Alfred,Allegany
University or College,36007,binghamton university police,0,0,0,0,0,87,0,87,-75.9694885,42.0894288,SUNY Binghamton,Broome
University or College,36013,state university college at fredonia police,0,11,1,9,0,10,0,10,-79.3317105,42.4400576,SUNY Fredonia,Chautauqua
University or College,36019,state university college at plattsburgh police,0,0,0,0,1,28,0,29,-73.4529124,44.6994873,SUNY Plattsburgh,Clinton
University or College,36023,state university at cortland police,0,0,0,0,2,12,0,14,-76.1804843,42.6011813,SUNY Cortland,Cortland
University or College,36025,suny college: technology,0,0,0,0,0,11,0,11,-74.9245,42.2707,SUNY Delhi,Delaware
University or College,36029,state university at buffalo police,0,7,1,12,6,92,0,98,-78.780604,42.9986,SUNY Buffalo,Erie
University or College,36029,buffalo state college police,0,11,1,12,6,38,0,44,-78.8831318,42.9334108,SUNY Buffalo State College,Erie
University or College,36047,suny health science center at brooklyn police,0,0,0,0,0,17,0,17,-73.9455865,40.6555364,SUNY Downstate Medical ,
University or College,36051,state university college at geneseo police,0,7,1,9,0,20,0,20,-77.8238627,42.7960069,SUNY Geneseo,Livingston
University or College,36053,morrisville state college police,0,0,1,9,3,28,0,31,-75.6405117,42.8934515,SUNY Morrisville,Madison
University or College,36055,state university college at brockport police,0,10,1,12,0,20,0,20,-77.9391797,43.2136713,SUNY Brockport,Monroe
University or College,,nanoscale science and engineering,0,0,0,0,,,,,-73.830789,42.690486,SUNY Nanoscale Science and Engineering,Albany
University or College,36059,state university college at old westbury police,0,0,0,0,2,6,0,8,-73.5717581,40.797082,SUNY Old Westbury,Nassau
University or College,36061,"state university of new york, college of optometry",0,11,1,3,0,1,0,1,-73.982243,40.7544085,SUNY Optometry,-
University or College,36065,suny institute of technology at utica/rome police,0,12,1,6,0,6,0,6,-75.232664,43.100903,SUNY Polytechnic Institute,Oneida
University or College,36067,suny college of environmental science & forestry p,0,0,0,0,0,18,0,18,-76.1366182,43.0345102,SUNY Environmental Science ,-
University or College,36067,suny upstate medical university police,0,0,0,0,6,74,0,80,-76.139862,43.0421295,SUNY Upstate Medical,Onondaga
University or College,36075,oswego state university police,0,12,1,12,2,38,0,40,-76.5434378,43.4508509,SUNY Oswego,Oswego
University or College,36077,state university college at oneonta police,0,0,0,0,0,18,0,18,-75.065155,42.468769,SUNY Oneonta,Otsego
University or College,36089,suny canton police,0,0,0,0,0,7,0,7,-75.1856217,44.6029123,SUNY Canton,St. Lawrence
University or College,36089,state university college at potsdam police,0,0,0,0,1,25,0,26,-74.9718151,44.66539126,SUNY Potsdam,St. Lawrence
University or College,36095,suny college of agriculture & technology at cobles,0,0,0,0,1,6,0,7,-74.498398,42.673005,SUNY Cobleskill,Schoharie
University or College,36103,farmingdale state college police,0,11,1,11,0,6,0,6,-73.4266988,40.7529167,SUNY Farmingdale,Suffolk
University or College,36103,state university at stony brook police,0,11,1,8,11,81,0,92,-73.1204032,40.908119,SUNY Stony Brook,Suffolk
University or College,,cornell university,0,11,1,12,,,,,-76.4735027,42.4534492,,Tompkins
University or College,,ithaca college,0,0,0,0,,,,,-76.4969344,42.4199229,,Tompkins
University or College,36111,state university college at new paltz police,0,12,1,12,1,20,0,21,-74.0868095,41.7475933,SUNY New Paltz,Ulster
University or College,36119,purchase college police,0,0,0,0,0,11,0,11,-73.700419,41.0470553,SUNY Purchase,Westchester
University or College,36005,state university of new york maritime college poli,0,0,0,0,0,11,0,11,-73.796808,40.8074244,SUNY Maritime ,-
