agency_type,FIPS,agency_name_full,population_21,months_reported_in_21,is_nibrs_2022,months_reported_in_22,violent_crime_2020,property_crime_2020,murder_2020,total_crime_2020,longitude,latitude,Info,County
City,36027,wappingers falls village police department,5540,0,0,0,7,39,0,46,-73.91097,41.5964825,,Dutchess
City,36027,red hook village police department,1951,0,0,0,5,33,0,38,-73.8754114,41.9950919,,Dutchess
City,36027,rhinebeck vlg police dept,2554,0,0,0,1,18,0,19,-73.9074372,41.9318294,,Dutchess
City,36027,millbrook village police department,1400,0,0,0,0,0,0,0,-73.6921568,41.7866308,,Dutchess
City,36027,town of pine plains police dept,2399,0,0,0,0,1,0,1,-73.6559602,41.9798143,,Dutchess
City,36027,poughkeepsie town police department,38934,11,1,12,69,903,0,972,-73.8891799,41.7047967,,Dutchess
City,36027,fishkill town police department,21973,0,0,0,5,353,0,358,-73.9230265,41.5260773,,Dutchess
City,36027,hyde park town police department,20766,12,1,12,9,36,0,45,-73.910354,41.789538,,Dutchess
City,36027,east fishkill town police department,29578,12,1,9,12,137,0,149,-73.7956884,41.5534267,,Dutchess
Other State Agency,36027,nys park police taconic region,0,0,0,0,0,0,0,0,-73.9309163,41.8425586,,Westchester
County,36029,erie county sheriff's office,126954,0,0,0,52,575,2,627,-78.7476208,42.6974933,,Erie
City,36029,buffalo police department,254627,12,1,12,2592,7965,61,10557,-78.8783689,42.8864468,,Erie
City,36029,lackawanna police department,17674,0,0,0,100,352,0,452,-78.8251728,42.8261596,,Erie
City,36029,tonawanda police department,14700,0,0,0,46,287,1,333,-78.880315,43.0203347,,Erie
City,36029,kenmore village police department,14968,0,1,7,37,242,0,279,-78.8783432,42.9624831,,Erie
City,36029,east aurora village pd east aurora,13748,0,0,0,3,76,0,79,-78.6133589,42.7678376,,Erie
City,36029,depew village police department,14965,0,0,0,23,230,0,253,-78.6922515,42.9039476,,Erie
City,36009,gowanda village police department,2531,0,0,0,4,36,0,40,-78.935868,42.4631167,,Erie
City,36029,blasdell village pd blasdell,2671,0,0,0,4,32,0,36,-78.8233661,42.797281,,Erie
City,36029,hamburg village police department,9744,0,0,0,6,71,0,77,-78.8332013,42.7158749,,Erie
City,36029,akron village police department,2852,0,0,0,0,6,0,6,-78.501958,43.019776,,Erie
Other,36029,niagara frontier transportation authority,0,0,0,0,,,,,-78.872036,42.883393,,Erie
City,36029,amherst town police department,121304,0,0,0,153,1865,0,2018,-78.779998,43.013667,,Erie
City,36029,brant town police dept,2056,0,0,0,0,15,0,15,-79.015503,42.588425,,Erie
City,36029,cheektowaga town police department,76536,0,0,0,216,2237,1,2453,-78.7542892,42.9071477,,Erie
City,36029,orchard park town police department,29653,0,0,0,8,277,0,285,-78.7439189,42.7675593,,Erie
City,36029,eden town police department,7602,0,0,0,1,22,0,23,-78.8954,42.6523,,Erie
City,36029,evans town police department,16061,0,0,0,23,156,0,179,-79.0417851,42.6466036,,Erie
City,36029,hamburg town police department,46513,0,0,0,51,675,0,726,-78.824408,42.729148,,Erie
City,36029,lancaster town police department,37633,0,0,0,12,347,0,359,-78.6703,42.9001,,Erie
City,36029,tonawanda town police department,56503,0,0,0,85,848,2,933,-78.8723971,42.9886849,,Erie
City,36029,west seneca town police department,45278,0,0,0,59,590,0,649,-78.7538895,42.8358977,,Erie
County,36031,essex county sheriff's office,23380,0,0,0,1,1,0,2,-73.536718,44.2821,,Essex
City,36031,lake placid village police department,2339,0,0,0,7,16,0,23,-73.9798713,44.2794911,,Essex
City,36031,ticonderoga town police department,4725,0,0,0,6,23,0,29,-73.4234531,43.8486707,,Essex
City,36031,moriah town police department,4437,0,0,0,0,0,0,0,-73.4578018,44.0428009,,Essex
County,36033,franklin county sheriff's office,36872,0,0,0,0,0,0,0,-74.318688,44.869045,,Franklin
City,36033,tupper lake village police department,3420,0,0,0,1,25,0,26,-74.4640575,44.2239488,,Franklin
City,36033,saranac lake village police department,5177,0,0,0,1,5,0,6,-74.1312662,44.329496,,Franklin
City,36033,malone village police department,5566,0,0,0,32,191,0,223,-74.2948983,44.8486596,,Franklin
County,36035,fulton county sheriff's office,28811,0,0,0,13,244,0,257,-74.351054,43.018457,,Fulton
City,36035,gloversville police department,14656,0,1,7,79,404,1,483,-74.3493359,43.0517167,,Fulton
City,36035,johnstown police department,8183,0,1,10,10,128,0,138,-74.3699,43.0067,,Fulton
City,36035,northville village police department,1048,0,0,0,0,3,0,3,-72.618982,40.970099,,Fulton
County,36037,genesee county sheriff's office,37985,11,1,11,26,234,0,260,-78.1992786,43.0148533,,Genesee
City,36037,batavia police department,14278,12,1,12,64,345,0,409,-78.187534,42.99848,,Genesee
City,36037,le roy village police department,4246,0,0,0,1,18,0,19,-77.9842,42.9784,,Genesee
County,36039,greene county sheriff's office,25316,0,0,0,11,26,0,37,-73.8639,42.2175,,Greene
City,36039,athens village police department,1590,0,0,0,0,0,0,0,-73.8105224,42.2624216,,Greene
City,36039,catskill village police department,3787,0,0,0,6,71,0,77,-73.8658419,42.2204709,,Greene
City,36039,coxsackie village police department,2655,0,0,0,0,1,0,1,-73.8029028,42.3509179,,Greene
City,36039,windham town police department,1672,0,0,0,0,5,0,5,-74.315449,42.098715,,Greene
City,36039,hunter town police department,2620,0,0,0,0,20,0,20,-74.120967,42.196047,,Greene
City,36039,durham town police dept,2648,0,0,0,0,1,0,1,-74.131839,42.404199,,Greene
City,36039,cairo town police department,6390,0,0,0,3,40,0,43,-73.998459,42.300795,,Greene
County,36041,hamilton county sheriff's office,4041,0,0,0,0,10,0,10,-74.4112,43.4692,,Hamilton
City,36041,inlet town police department,301,0,0,0,1,4,0,5,-74.79722,43.764843,,Hamilton
County,36043,herkimer county sheriff's office,27783,0,0,0,0,0,0,0,-74.9891568,43.0285089,,Herkimer
City,36043,frankfort village police department,2409,0,0,0,3,7,0,10,-75.07203,43.03436,,Herkimer
City,36043,ilion village police department,7613,12,1,12,28,195,0,223,-75.0354347,43.0150703,,Herkimer
City,36043,mohawk police department,2507,0,0,0,2,23,0,25,-75.0053104,43.0090818,,Herkimer
City,36043,herkimer village police department,7212,0,0,0,10,289,0,299,-74.9859889,43.0256259,,Herkimer
City,36043,dolgeville village police department,2055,0,0,0,1,20,0,21,-74.772927,43.1009037,,Herkimer
City,36043,little falls police department,4604,0,0,0,12,63,1,75,-74.855717,43.044486,,Herkimer
City,36043,webb town police department,1779,0,0,0,0,1,0,1,-74.9707,43.7124,,Herkimer
City,36043,frankfort town police department,4752,0,0,0,4,22,0,26,-75.07203,43.03436,,Herkimer
County,36045,jefferson county sheriff's office,67464,12,1,12,10,190,0,200,-75.9277,43.9728,,Jefferson
City,36045,watertown police department,24624,12,1,12,181,975,0,1156,-75.92827302,43.97298842,,Jefferson
City,36045,adams vlg police dept,1706,0,0,0,0,3,0,3,-76.0250533,43.8075111,,Jefferson
City,36045,alexandria bay vlg police dept,1023,0,0,0,0,3,0,3,-75.9177309,44.3358836,,Jefferson
City,36045,brownville village pd brownville,1076,0,0,0,0,2,0,2,-76.01598,44.0449586,,Jefferson
City,36045,dexter vlg police dept,992,0,0,0,0,2,0,2,-76.04645,44.009114,,Jefferson
City,36045,glen park village rd watertown,469,0,0,0,0,1,0,1,-75.9107565,43.9747838,,Jefferson
City,36045,cape vincent village police department,689,0,0,0,0,1,0,1,-76.2942507,44.1165751,,Jefferson
City,36045,west carthage police dept,1925,0,0,0,1,11,0,12,-75.6151927,43.9742346,,Jefferson
City,36045,clayton village police department,1816,0,0,0,0,3,0,3,-76.08431,44.239671,,Jefferson
City,36045,sacketts harbor vlg police dept,1391,0,0,0,0,0,0,0,-76.1190929,43.9461707,,Jefferson
City,36045,black river village pd black river,1229,0,0,0,0,3,0,3,-75.7943671,44.0125639,,Jefferson
City,36045,theresa village pd theresa,772,0,0,0,0,0,0,0,-75.797097,44.215905,,Jefferson
City,36045,carthage village police department,3250,0,0,0,4,53,0,57,-75.60899,43.977211,,Jefferson
Other State Agency,36045,thousand is st pk & rec comm pd alexandria bay,0,0,0,0,0,0,0,0,-75.9177309,44.3358836,,Jefferson
County,36049,lewis county sheriff's office,22747,12,1,12,3,21,0,24,-75.5009,43.779,,Lewis
City,36049,lowville village police department,3297,0,0,0,2,8,0,10,-75.4844634,43.7966463,,Lewis
County,36051,livingston county sheriff's office,38801,8,1,10,16,118,0,134,-77.8367282,42.7576923,,Livingston
City,36051,avon village police department,3272,0,0,0,0,0,0,0,-77.74632,42.9109443,,Livingston
City,36051,caledonia village police department,2083,0,0,0,0,2,0,2,-77.854827,42.973612,,Livingston
City,36051,geneseo village police department,8130,0,0,0,1,75,0,76,-77.8166351,42.7951716,,Livingston
City,36051,mount morris village police department,2765,0,0,0,5,51,0,56,-77.872551,42.724218,,Livingston
City,36051,dansville village police department,4341,0,0,0,2,53,0,55,-77.696106,42.5608999,,Livingston
City,36051,nunda town & village police department,2871,0,0,0,0,0,0,0,-77.942503,42.5795085,,Livingston
County,36053,madison county sheriff's office,43099,0,0,0,20,100,1,120,-75.706499,43.079906,,Madison
City,36053,oneida police department,10849,0,1,12,67,481,1,548,-75.6524968,43.095697,,Madison
County,36065,oneida county sheriff's office,78748,12,1,12,47,,1,,-75.3767285,43.1559399,,Oneida
City,36053,cazenovia village police department,2851,0,0,0,2,20,0,22,-75.8526915,42.9300668,,Madison
City,36053,hamilton village police department,4077,0,0,0,0,5,0,5,-75.557037,42.842714,,Madison
City,36053,canastota village police department,4518,0,0,0,6,35,0,41,-75.7518391,43.077744,,Madison
City,36053,chittenango village police department,4826,0,0,0,3,19,0,22,-75.86658,43.0450671,,Madison
County,36055,monroe county sheriff's office,236185,12,1,12,134,2018,0,2152,-77.6039186,43.2550676,,Monroe
City,36055,rochester police department,205199,0,1,12,1680,7039,48,8719,-77.6116,43.152,,Monroe
City,36055,irondequoit town police department,49889,10,1,11,0,0,0,0,-77.5797226,43.2133955,,Monroe
City,36055,east rochester village police department,6476,12,1,12,7,72,0,79,-77.4874959,43.1086741,,Monroe
City,36055,fairport village police department,5300,12,1,12,2,28,0,30,-77.4419378,43.0986742,,Monroe
City,36055,brockport village police department,8142,12,1,12,10,52,0,62,-77.9391797,43.2136713,,Monroe
City,36055,brighton town police department,35853,12,1,12,34,705,0,739,-77.575902,43.126804,,Monroe
City,36055,gates town police department,28222,0,0,0,65,731,0,796,-77.69419971,43.14923493,,Monroe
City,36055,greece town police department,95431,12,1,12,150,1714,2,1864,-77.6930602,43.2097837,,Monroe
